,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
37,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_3'})","frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.3305049916045497,0.42965736727109227,0.31841677263434476,0.9634250033213763,2.2423099816498744,1.0,0.17641286807157947,15.59378494932973,0.8275361625722831,0.7208148367563182,0.9358718872134386,0.852259822490683
38,"frozenset({'VELCOIDADE_velocidadeAlta', 'FAIXA_3'})","frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.40386243404829314,0.44519509761906434,0.31841677263434476,0.7884287960198573,1.7709736702772148,1.0,0.13861919688354196,2.6223081966911126,0.7302657832633067,0.6000609022469289,0.6186565708554691,0.7518292665667263
39,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})","frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta'})",0.3305049916045497,0.42965736727109227,0.31841677263434476,0.9634250033213763,2.2423099816498744,1.0,0.17641286807157947,15.59378494932973,0.8275361625722831,0.7208148367563182,0.9358718872134386,0.852259822490683
40,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.3041647053864366,0.9211916621586494,0.2976081748501816,0.9784441441753572,1.062150456162995,1.0,0.017414184325254156,3.656005981968774,0.08409144727393687,0.32078550752623436,0.7264774716091968,0.6507564123751219
41,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'FAIXA_3'}),0.3320058100731353,0.42470967198027243,0.2611907137186576,0.7867052497097015,1.8523365527362974,1.0,0.12018463502695167,2.6971612158140115,0.6888402754583336,0.5270992095842344,0.6292398117929346,0.7008458737144974
42,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.3041647053864366,0.44519509761906434,0.2611907137186576,0.8587147328182565,1.9288503791050826,1.0,0.12577807801186902,3.9268418671513543,0.6920552513057459,0.5350414834749698,0.7453424319514479,0.7227014700566352
43,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),0.3305049916045497,0.5668843394993642,0.2611907137186576,0.7902776670652318,1.3940721448808309,1.0,0.0738326098516695,2.065186165153673,0.4222242226024719,0.4105490118669827,0.5157821522954137,0.6255127348026037
44,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL'})",frozenset({'FAIXA_3'}),0.3320058100731353,0.42470967198027243,0.2611907137186576,0.7867052497097015,1.8523365527362974,1.0,0.12018463502695167,2.6971612158140115,0.6888402754583336,0.5270992095842344,0.6292398117929346,0.7008458737144974
45,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_3'})",frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),0.3305049916045497,0.5668843394993642,0.2611907137186576,0.7902776670652318,1.3940721448808309,1.0,0.0738326098516695,2.065186165153673,0.4222242226024719,0.4105490118669827,0.5157821522954137,0.6255127348026037
46,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.3041647053864366,0.44519509761906434,0.2611907137186576,0.8587147328182565,1.9288503791050826,1.0,0.12577807801186902,3.9268418671513543,0.6920552513057459,0.5350414834749698,0.7453424319514479,0.7227014700566352
47,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'FAIXA_3'}),0.32687896500607705,0.42470967198027243,0.2568472098300536,0.7857563114386346,1.8501022304835397,1.0,0.11801855182507168,2.685214821882364,0.682625120952361,0.519154442566848,0.6275903172249774,0.6952579068472643
48,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.2976081748501816,0.44519509761906434,0.2568472098300536,0.8630381539732657,1.9385616746205345,1.0,0.12435350937539544,4.050798952232581,0.6892928051651762,0.5285399845309778,0.7531351193203865,0.7199849778957972
49,"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),0.31841677263434476,0.5668843394993642,0.2568472098300536,0.8066384433994788,1.4229330168334688,1.0,0.07634172798971384,2.239926426510099,0.43608207854379955,0.4086969766414953,0.5535567650058745,0.6298620911472219
50,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.2611907137186576,0.9211916621586494,0.2568472098300536,0.9833703739816623,1.0674981270209372,1.0,0.01624050211915945,4.739032480613061,0.08558393577942072,0.27751210245958413,0.7889864642010987,0.6310954858357956
51,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})","frozenset({'VELCOIDADE_velocidadeAlta', 'FAIXA_3'})",0.3320058100731353,0.40386243404829314,0.2568472098300536,0.773622635620366,1.9155597807541012,1.0,0.12276253525574185,2.6333797444164357,0.715514289416129,0.5361919236177441,0.6202598572726538,0.7047998061865743
52,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})","frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.3041647053864366,0.42965736727109227,0.2568472098300536,0.8444346279550521,1.9653675050851767,1.0,0.12616060329692985,3.6662569904317595,0.7058988124822706,0.5384921299782559,0.7272422520816703,0.7211150280576804
53,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})","frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL'})",0.3305049916045497,0.5483098448071154,0.2568472098300536,0.7771356450112926,1.417329366545796,1.0,0.07562806917538598,2.0267492090234525,0.43980566303471136,0.4129591297889704,0.5065990426699959,0.6227850377011963
54,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'FAIXA_3'}),0.3320058100731353,0.42470967198027243,0.2611907137186576,0.7867052497097015,1.8523365527362974,1.0,0.12018463502695167,2.6971612158140115,0.6888402754583336,0.5270992095842344,0.6292398117929346,0.7008458737144974
55,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.2611907137186576,0.44519509761906434,0.2611907137186576,1.0,2.2462062258728195,1.0,0.14490988842748675,inf,0.7509446790706189,0.5866882072950139,1.0,0.793344103647507
56,"frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),0.3305049916045497,0.5668843394993642,0.2611907137186576,0.7902776670652318,1.3940721448808309,1.0,0.0738326098516695,2.065186165153673,0.4222242226024719,0.4105490118669827,0.5157821522954137,0.6255127348026037
57,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.2611907137186576,0.44519509761906434,0.2611907137186576,1.0,2.2462062258728195,1.0,0.14490988842748675,inf,0.7509446790706189,0.5866882072950139,1.0,0.793344103647507
58,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",0.3320058100731353,0.3305049916045497,0.2611907137186576,0.7867052497097015,2.380312762873478,1.0,0.1514611362477743,3.1388255336066817,0.8681020730374748,0.6508289057918369,0.6814094987780523,0.7884914583874667
59,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_3'})","frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.3305049916045497,0.3320058100731353,0.2611907137186576,0.7902776670652318,2.380312762873478,1.0,0.1514611362477743,3.185136177817729,0.8661560336981305,0.6508289057918369,0.686041681054547,0.7884914583874667
60,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})","frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_3'})",0.3320058100731353,0.3305049916045497,0.2611907137186576,0.7867052497097015,2.380312762873478,1.0,0.1514611362477743,3.1388255336066817,0.8681020730374748,0.6508289057918369,0.6814094987780523,0.7884914583874667
61,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_3'})","frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.3041647053864366,0.44519509761906434,0.2611907137186576,0.8587147328182565,1.9288503791050826,1.0,0.12577807801186902,3.9268418671513543,0.6920552513057459,0.5350414834749698,0.7453424319514479,0.7227014700566352
