,support,itemsets
56,0.3301879264624286,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
57,0.3301879264624286,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
58,0.28930134853520534,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'FAIXA_bin_1.0'})"
59,0.28930134853520534,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_bin_1.0', 'VELOCIDADE DA VIA_bin_0.0'})"
60,0.2892920700488605,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
61,0.2860538783145073,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_bin_1.0', 'ACIMA VELOCIDADE PERMITIDA_False'})"
62,0.28930134853520534,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'FAIXA_bin_1.0', 'VELOCIDADE DA VIA_bin_0.0'})"
63,0.2892920700488605,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
64,0.2892920700488605,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
65,0.2892920700488605,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'FAIXA_bin_1.0', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
66,0.2860538783145073,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_bin_1.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE DA VIA_bin_0.0'})"
67,0.2860538783145073,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'FAIXA_bin_1.0', 'ACIMA VELOCIDADE PERMITIDA_False'})"
68,0.2860464555254314,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
69,0.2860538783145073,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
