Pattern,#SUP:,#CONF:
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2446.0,0.9258137774413323
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60",2441.0,0.9239212717638153
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2421.0,0.9163512490537472
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60",2468.0,0.9341408024224073
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2444.0,0.9250567751703255
2_349_AUTOMÓVEL_PEQUENO_41-60 ==> 4_370_AUTOMÓVEL_MÉDIO_0-40,2505.0,0.9396099024756189
4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_350_AUTOMÓVEL_MÉDIO_41-60,2505.0,0.9481453444360333
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_350_AUTOMÓVEL_MÉDIO_41-60,2_366_AUTOMÓVEL_MÉDIO_41-60",2430.0,0.9197577592732779
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_350_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2470.0,0.9348978046934141
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_350_AUTOMÓVEL_MÉDIO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60",2458.0,0.9303557910673732
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_350_AUTOMÓVEL_MÉDIO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2437.0,0.9224072672218017
2_350_AUTOMÓVEL_MÉDIO_41-60 ==> 4_370_AUTOMÓVEL_MÉDIO_0-40,2516.0,0.9426751592356688
4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_366_AUTOMÓVEL_MÉDIO_41-60,2455.0,0.929220287660863
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 2_366_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2419.0,0.9155942467827404
2_366_AUTOMÓVEL_MÉDIO_41-60 ==> 4_370_AUTOMÓVEL_MÉDIO_0-40,2468.0,0.9412662090007627
4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 3_349_AUTOMÓVEL_MÉDIO_41-60,2489.0,0.9420893262679788
"4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 3_349_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2464.0,0.9326267978803936
3_349_AUTOMÓVEL_MÉDIO_41-60 ==> 4_370_AUTOMÓVEL_MÉDIO_0-40,2495.0,0.9404447794949115
4_370_AUTOMÓVEL_MÉDIO_0-40 ==> 4_349_AUTOMÓVEL_MÉDIO_41-60,2502.0,0.9470098410295231
4_349_AUTOMÓVEL_MÉDIO_41-60 ==> 4_370_AUTOMÓVEL_MÉDIO_0-40,2505.0,0.9403153153153153
1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 1_349_AUTOMÓVEL_PEQUENO_41-60,2433.0,0.9411992263056093
1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2418.0,0.9141776937618148
1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,2459.0,0.951257253384913
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2420.0,0.9361702127659575
